,question,golden_answer,answer,judge,model
0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,The first Nobel Prize in Physics was awarded to Wilhelm Röntgen in 1901.,True,gpt35
2,which mode is used for short wave broadcast service,Olivia,Shortwave broadcast service is typically used in the AM broadcasting mode.,False,gpt35
4,what does hp mean in war and order,hit points or health points,"HP stands for ""Hit Points"" and is a term used in War and Order to refer to the amount of health a unit has. It is the amount of damage a unit can take before it is destroyed.",True,gpt35
5,who wrote the first declaration of human rights,Cyrus,"The first modern declaration of human rights was the Universal Declaration of Human Rights (UDHR), which was adopted by the United Nations General Assembly in 1948. The UDHR was drafted by representatives of a wide range of legal and cultural backgrounds from all regions of the world. The most influential of these were René Cassin of France, Charles Malik of Lebanon, P.C. Chang of China, and Eleanor Roosevelt of the United States.",False,gpt35
6,who is the owner of reading football club,Xiu Li Dai,Reading Football Club is owned by Dai Yongge and Dai Xiu Li.,True,gpt35
9,who was the first lady nominated member of the rajya sabha,Mary Kom,"The first Lady nominated member of the Rajya Sabha was Sarojini Naidu. She was nominated to the Rajya Sabha in April, 1926.",False,gpt35
11,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky. They are some of the most popular ballets in the world. Swan Lake is a romantic ballet in four acts. It tells the story of a princess who is turned into a swan by an evil sorcerer. The Sleeping Beauty is a classic fairytale ballet in three acts. It tells the story of Princess Aurora who is cursed by an evil fairy and put to sleep for 100 years. The Nutcracker is a two-act ballet based on,True,gpt35
12,how many episodes are there in dragon ball z,291 episodes,There are 291 episodes in Dragon Ball Z.,True,gpt35
13,cast of law & order special victim unit,Kelli Giddish,Law & Order: Special Victims Unit airs on NBC on Thursdays at 9 PM Eastern Time.,False,gpt35
14,who designed the garden city of new earswick,planner Raymond Unwin,"The Garden City of Letchworth, known as the world's first Garden City, was planned by Ebenezer Howard and laid out by Barry Parker and Raymond Unwin.",True,gpt35
15,what is the first step in the evolution of the eye,photoreceptor proteins that sense light,The first step in the evolution of the eye is believed to be the development of a light-sensitive spot on the surface of an organism. This spot was likely composed of light-sensitive proteins that allowed the organism to detect light and dark. This gave the organism the ability to detect changes in its environment and respond accordingly.,True,gpt35
16,where is the tv show the curse of oak island filmed,Oak Island,"The Curse of Oak Island is filmed on location in Nova Scotia, Canada.",True,gpt35
17,where is gall bladder situated in human body,beneath the liver,"The gallbladder is located in the upper right side of the abdomen, just below the liver. It is a small, pear-shaped organ that stores bile, a digestive fluid produced by the liver.",True,gpt35
19,who was named african footballer of the year 2014,Yaya Touré,"The 2014 African Footballer of the Year was Yaya Touré, a midfielder from Ivory Coast who plays for Manchester City in the English Premier League.",True,gpt35
20,what is the main mineral in lithium batteries,Lithium,The main mineral used in lithium batteries is lithium cobalt oxide (LiCoO2).,True,gpt35
21,right to property according to the constitution of india is a,constitutional right,"fundamental right. Article 300A of the Constitution of India guarantees the right to property as a legal right. This right is not absolute and the government can acquire private property for public use by providing adequate compensation to the owner. 

The right to property is also protected under the Indian Penal Code (IPC). The IPC provides for the punishment of anyone who illegally takes or damages property belonging to another person. The punishment for such an offence can range from a fine to imprisonment.",True,gpt35
23,what part of the brain is in the middle cranial fossa,pituitary gland,The temporal lobe is located in the middle cranial fossa.,True,gpt35
24,where do the greasers live in the outsiders,"Tulsa, Oklahoma","The Greasers live in a poor part of town called the East Side. They live in rundown houses, abandoned buildings, and alleys.",False,gpt35
25,who died in the plane crash greys anatomy,Dr. Lexie Grey,The character who died in the plane crash on the show Grey's Anatomy was Lexie Grey (Chyler Leigh). She was a surgical resident at Seattle Grace Hospital and the half-sister of Meredith Grey (Ellen Pompeo).,True,gpt35
26,where do they grow hops in the us,Yakima (Washington),"Hops are grown in many states across the US, including Washington, Oregon, Idaho, California, Michigan, New York, and more.",True,gpt35
27,what's the dog's name on tom and jerry,Spike,The dog's name is Spike.,True,gpt35
30,panda is a national animal of which country,China,The giant panda is the national animal of China.,True,gpt35
33,who did deion sanders go in the hall of fame as,Cornerback,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,False,gpt35
34,what is the name of manchester united stadium,Old Trafford,Old Trafford.,True,gpt35
35,who played the mother in the black stallion,Teri Garr,Teri Garr played the mother in The Black Stallion (1979).,True,gpt35
36,who sings the theme song for the proud family,Destiny's Child,The theme song for The Proud Family is sung by Destiny's Child member Solange Knowles.,True,gpt35
37,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"The song ""Can't Get You Out of My Head"" was written by Cathy Dennis and Rob Davis.",True,gpt35
38,who is rose in the fall season 2,Valene Kane,"Rose is a new character introduced in the second season of The Fall. She is a young, intelligent and determined police officer who is assigned to the investigation team of Stella Gibson (Gillian Anderson) and Paul Spector (Jamie Dornull). Rose is determined to prove herself and is eager to learn from Gibson and Spector.",False,gpt35
39,where does the story the great gatsby take place,Long Island of 1922,"The Great Gatsby takes place in the fictional town of West Egg, Long Island, and New York City during the summer of 1922.",True,gpt35
42,who turned out to be the mother on how i met your mother,Tracy McConnell,The mother on How I Met Your Mother was played by actress Cristin Milioti.,False,gpt35
44,what is the meaning of the name sinead,God forgave,"Sinead is a Gaelic name meaning “God is gracious”. It is derived from the Irish name Síne, which is a form of the name Jean, meaning ‘God is gracious’.",True,gpt35
45,what network is showing the monday night football game,ESPN,The Monday Night Football game is broadcast on ESPN.,True,gpt35
46,what is the form of mozart symphony no 40,G minor,"Mozart's Symphony No. 40 is a four-movement work in the key of G minor. It is written in sonata form and includes a slow introduction, a fast first movement, a slower second movement, a minuet and trio, and a fast finale.",True,gpt35
48,when is the fourth movie of the divergent series coming out,never made,"The fourth movie of the Divergent series, Divergent: Ascendant, has been cancelled.",True,gpt35
50,who is the girl in green day 21 guns,Lisa Stelly,"The girl in Green Day's ""21 Guns"" music video is actress Jamie Murillo.",False,gpt35
52,who plays the voice of johnny in sing,Taron Egerton,The voice of Johnny in Sing is voiced by actor Matthew McConaughey.,False,gpt35
55,name the process of fusion of an egg with a sperm,fertilization,The process of fusion of an egg with a sperm is called fertilization.,True,gpt35
56,the vascular layer of the eye is the,middle layer,"choroid. The choroid is a layer of blood vessels and connective tissue located between the retina and the sclera. It provides oxygen and nourishment to the retina and helps regulate the temperature of the eye. The choroid also contains melanin, which helps absorb light and prevent it from scattering within the eye.",False,gpt35
57,the cuban revolt against spain was led by,Máximo Gomez,"José Martí. Martí was a Cuban poet, philosopher, and revolutionary who worked to achieve independence for Cuba from Spanish colonial rule. He organized the Cuban Revolutionary Party and planned the Cuban War of Independence, which began in 1895. He was killed in battle in 1895, but his efforts inspired the Cuban people to continue the fight for independence until it was achieved in 1898.",True,gpt35
58,when was the first documented case of tool mark identification,1835,The first documented case of tool mark identification was in 1835 when the French police used a set of tools to identify a burglar.,True,gpt35
61,when did beds become popular in france and germany,the 12th century,Beds became popular in France and Germany during the Middle Ages (around the 11th century).,False,gpt35
